size,column_first,row_first
64,1.31,1.28
128,2.61,2.60
192,3.93,3.87
256,5.22,5.18
320,6.52,6.43
384,8.04,8.13
448,9.51,9.14
512,10.9,10.4
576,12.3,11.8
640,13.7,13.0
704,15.1,14.3
768,16.1,15.7
832,17.7,16.9
